"WT_0_6" "Delta_0_6" "DeltaCompl_0_6" "Delta_DeltaCompl_0_6" "Delta_WT_0_6" "WT_0_24" "Delta_0_24" "DeltaCompl_0_24" "Delta_DCompl_0_24" "Delta_WT_0_24" "Dcompl_WT_0_6" "Dcompl_WT_0_24" "WT_0_6" "Delta_0_6" "DeltaCompl_0_6" "Delta_DeltaCompl_0_6" "Delta_WT_0_6" "WT_0_24" "Delta_0_24" "DeltaCompl_0_24" "Delta_DCompl_0_24" "Delta_WT_0_24" "Dcompl_WT_0_6" "Dcompl_WT_0_24" "WT_0_6.4" "Delta_0_6.4" "DeltaCompl_0_6.4" "Delta_DeltaCompl_0_6.4" "Delta_WT_0_6.4" "WT_0_24.4" "Delta_0_24.4" "DeltaCompl_0_24.4" "Delta_DCompl_0_24.4" "Delta_WT_0_24.4" "Dcompl_WT_0_6.4" "Dcompl_WT_0_24.4" "WT_0_6.3" "Delta_0_6.3" "DeltaCompl_0_6.3" "Delta_DeltaCompl_0_6.3" "Delta_WT_0_6.3" "WT_0_24.3" "Delta_0_24.3" "DeltaCompl_0_24.3" "Delta_DCompl_0_24.3" "Delta_WT_0_24.3" "Dcompl_WT_0_6.3" "Dcompl_WT_0_24.3" "WT_0_6.2" "Delta_0_6.2" "DeltaCompl_0_6.2" "Delta_DeltaCompl_0_6.2" "Delta_WT_0_6.2" "WT_0_24.2" "Delta_0_24.2" "DeltaCompl_0_24.2" "Delta_DCompl_0_24.2" "Delta_WT_0_24.2" "Dcompl_WT_0_6.2" "Dcompl_WT_0_24.2" "WT_0_6.1" "Delta_0_6.1" "DeltaCompl_0_6.1" "Delta_DeltaCompl_0_6.1" "Delta_WT_0_6.1" "WT_0_24.1" "Delta_0_24.1" "DeltaCompl_0_24.1" "Delta_DCompl_0_24.1" "Delta_WT_0_24.1" "Dcompl_WT_0_6.1" "Dcompl_WT_0_24.1" "Name..."
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-1 -1 -1 0 0 -1 -1 -1 0 0 0 0 -1 -1 -1 0 0 -1 -1 -1 0 0 0 0 -1 -1 -1 0 0 -1 -1 -1 0 0 0 0 -1 -1 -1 0 0 -1 -1 -1 0 0 0 0 -1 -1 -1 0 0 -1 -1 -1 0 0 0 0 -1 -1 -1 0 0 -1 -1 -1 0 0 0 0 0
1 1 1 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
